model,repeat,fold,inner_best_AUC,best_params_json,selected_features,selected_effective_df
HistGradientBoosting,1,2,0.8049586776859504,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
HistGradientBoosting,1,3,0.7411157024793389,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
HistGradientBoosting,1,4,0.7228305785123967,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
HistGradientBoosting,1,5,0.7644628099173554,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 15}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
HistGradientBoosting,2,1,0.7526859504132231,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 15}",tumorsizeb|log1p_tbil|log1p_ast|log1p_siib,4
HistGradientBoosting,2,2,0.8043388429752065,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,2,3,0.7086776859504131,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
HistGradientBoosting,2,4,0.7068181818181818,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|alb,4
HistGradientBoosting,2,5,0.7892561983471075,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 15}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
HistGradientBoosting,3,1,0.7239669421487603,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 15}",log1p_ast|bmi|log1p_tbil|tumorsizeb,4
HistGradientBoosting,3,2,0.7761363636363636,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_tbil|log1p_ast|log1p_pt,4
HistGradientBoosting,3,3,0.7950413223140496,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|bmi|alb|log1p_tbil,4
HistGradientBoosting,3,4,0.7351239669421488,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 15}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,3,5,0.7283057851239669,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 15}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,4,1,0.7619834710743802,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 15}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
HistGradientBoosting,4,2,0.7996900826446282,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,4,3,0.7910123966942149,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_tbil|log1p_ast|bmi,4
HistGradientBoosting,4,4,0.765599173553719,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 15}",tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
HistGradientBoosting,4,5,0.7758264462809917,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",log1p_tbil|tumorsizeb|alb|log1p_ast,4
HistGradientBoosting,5,1,0.7171487603305785,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,5,2,0.6973140495867769,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,5,3,0.706198347107438,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
HistGradientBoosting,5,4,0.7925619834710743,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 8}",log1p_tbil|tumorsizeb|bmi|alb,4
HistGradientBoosting,5,5,0.7159090909090909,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
XGBoost,1,1,0.7770661157024794,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
XGBoost,1,2,0.7462809917355371,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 150, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
